%time,Position1,Effort1,Position,2,Effort2
20.0810000000016,5.89495666579,0,-7.33108106992,0,
20.0820000000016,5.89364663739,0,-7.32932106462,0,
20.0830000000016,5.89231439634,0,-7.32756167274,0,
20.0840000000016,5.8909600484,0,-7.32580297567,0,
20.0850000000016,5.88958369855,0,-7.32404505146,0,
20.0860000000016,5.88818545095,0,-7.32228797485,0,
20.0870000000016,5.88676540903,0,-7.32053181744,0,
20.0880000000016,5.88532367546,0,-7.31877664774,0,
20.0890000000016,5.88386035221,0,-7.31702253127,0,
20.0900000000016,5.88237554053,0,-7.31526953066,0,
20.0910000000016,5.88086934103,0,-7.31351770574,0,
20.0920000000016,5.87934185366,0,-7.31176711363,0,
20.0930000000016,5.87779317773,0,-7.31001780881,0,
20.0940000000016,5.87622341197,0,-7.30826984321,0,
20.0950000000016,5.87463265449,0,-7.30652326631,0,
20.0960000000016,5.87302100285,0,-7.3047781252,0,
20.0970000000016,5.87138855408,0,-7.30303446465,0,
20.0980000000016,5.86973540465,0,-7.30129232723,0,
20.0990000000016,5.86806165055,0,-7.29955175333,0,
20.1000000000016,5.86636738726,0,-7.29781278125,0,
20.1010000000016,5.8646527098,0,-7.2960754473,0,
20.1020000000016,5.86291771274,0,-7.29433978584,0,
20.1030000000016,5.86116249021,0,-7.29260582933,0,
20.1040000000016,5.85938713592,0,-7.29087360847,0,
20.1050000000016,5.85759174318,0,-7.28914315216,0,
20.1060000000016,5.85577640492,0,-7.28741448765,0,
20.1070000000016,5.85394121371,0,-7.28568764057,0,
20.1080000000016,5.85208626175,0,-7.28396263498,0,
20.1090000000016,5.85021164091,0,-7.28223949344,0,
20.1100000000016,5.84831744275,0,-7.28051823706,0,
20.1110000000016,5.84640375852,0,-7.27879888558,0,
20.1120000000016,5.84447067918,0,-7.27708145739,0,
20.1130000000016,5.84251829541,0,-7.2753659696,0,
20.1140000000016,5.84054669763,0,-7.27365243809,0,
20.1150000000016,5.83855597602,0,-7.27194087757,0,
20.1160000000016,5.83654622053,0,-7.27023130162,0,
20.1170000000016,5.83451752087,0,-7.26852372273,0,
20.1180000000016,5.83246996657,0,-7.26681815235,0,
20.1190000000016,5.83040364693,0,-7.26511460097,0,
20.1200000000016,5.82831865112,0,-7.26341307811,0,
20.1210000000016,5.82621506809,0,-7.26171359241,0,
20.1220000000016,5.82409298667,0,-7.26001615164,0,
20.1230000000016,5.82195249553,0,-7.25832076274,0,
20.1240000000016,5.81979368321,0,-7.25662743192,0,
20.1250000000016,5.81761663812,0,-7.2549361646,0,
20.1260000000016,5.81542144857,0,-7.25324696554,0,
20.1270000000016,5.81320820277,0,-7.25155983884,0,
20.1280000000016,5.81097698884,0,-7.24987478794,0,
20.1290000000016,5.80872789482,0,-7.24819181573,0,
20.1300000000016,5.80646100868,0,-7.24651092453,0,
20.1310000000016,5.80417641833,0,-7.24483211615,0,
20.1320000000016,5.80187421164,0,-7.24315539189,0,
20.1330000000016,5.79955447643,0,-7.24148075262,0,
20.1340000000016,5.7972173005,0,-7.23980819876,0,
20.1350000000016,5.79486277162,0,-7.23813773037,0,
20.1360000000016,5.79249097756,0,-7.23646934712,0,
20.1370000000016,5.79010200607,0,-7.23480304835,0,
20.1380000000016,5.78769594492,0,-7.23313883308,0,
20.1390000000016,5.78527288188,0,-7.23147670008,0,
20.1400000000016,5.78283290476,0,-7.22981664783,0,
20.1410000000016,5.78037610138,0,-7.2281586746,0,
20.1420000000016,5.7779025596,0,-7.22650277846,0,
20.1430000000016,5.77541236734,0,-7.22484895728,0,
20.1440000000016,5.77290561255,0,-7.22319720878,0,
20.1450000000016,5.77038238324,0,-7.22154753057,0,
20.1460000000016,5.76784276751,0,-7.2198999201,0,
20.1470000000016,5.7652868535,0,-7.21825437479,0,
20.1480000000016,5.76271472945,0,-7.21661089193,0,
20.1490000000016,5.76012648366,0,-7.21496946879,0,
20.1500000000016,5.75752220456,0,-7.21333010263,0,
20.1510000000016,5.75226590051,0,-7.2100575301,0,
20.1520000000016,5.74961405288,0,-7.20842431824,0,
20.1530000000016,5.74694652657,0,-7.20679315236,0,
20.1540000000016,5.74426341054,0,-7.20516402983,0,
20.1550000000016,5.74156479384,0,-7.20353694808,0,
20.1560000000017,5.73885076569,0,-7.20191190464,0,
20.1570000000016,5.73612141539,0,-7.20028889715,0,
20.1580000000017,5.73337683243,0,-7.19866792335,0,
20.1590000000017,5.73061710642,0,-7.19704898114,0,
20.1600000000017,5.7278423271,0,-7.19543206855,-0.202837109566,
20.1610000000017,5.72505258439,0,-7.19381718378,-0.202837109566,
20.1620000000017,5.72224796835,0,-7.1922043252,-0.202837109566,
20.1630000000017,5.71942959622,0,-7.19059766765,-0.418200701475,
20.1640000000017,5.71659752708,0,-7.18899709784,-0.418200701475,
20.1650000000017,5.71375182089,0,-7.18740250538,-0.418200701475,
20.1660000000017,5.71089253854,0,-7.1858137827,-0.418200701475,
20.1670000000017,5.70801974178,0,-7.18423082504,-0.418200701475,
20.1680000000017,5.70513349324,0,-7.18265353039,-0.418200701475,
20.1690000000017,5.70223495394,0,-7.1810862524,-0.418200701475,
20.1700000000017,5.69932415444,0,-7.17952877424,-0.418200701475,
20.1710000000017,5.69640112694,0,-7.17798088456,-0.418200701475,
20.1720000000017,5.69346590524,0,-7.17644237739,-0.418200701475,
20.1730000000017,5.69051852471,0,-7.17491305204,-0.418200701475,
20.1740000000017,5.68755902226,0,-7.17339271302,-0.418200701475,
20.1750000000017,5.68160380683,0,-7.17037823731,-0.418200701475,
20.1760000000017,5.67860817513,0,-7.16888373469,-0.418200701475,
20.1770000000017,5.67560058403,0,-7.16739748631,-0.418200701475,
20.1780000000017,5.67258107776,0,-7.16591932114,-0.418200701475,
20.1790000000017,5.66954970189,0,-7.16444907273,-0.958170235157,
20.1800000000017,5.66650650337,0,-7.16298657915,-0.958170235157,
20.1810000000017,5.66345153049,0,-7.16153168288,-0.958170235157,
20.1820000000017,5.66038762388,0,-7.16009549975,-0.958170235157,
20.1830000000017,5.65423286557,0,-7.15727745327,-0.958170235157,
20.1840000000017,5.65114195027,0,-7.15589470863,-0.958170235157,
20.1850000000017,5.6480419739,0,-7.15452891416,-0.958170235157,
20.1860000000017,5.64493291269,0,-7.15317965678,-1.17457413673,
20.1870000000017,5.64181474595,0,-7.15184653407,-1.17457413673,
20.1880000000017,5.63868745602,0,-7.15052915402,-1.17457413673,
20.1890000000017,5.63555102823,0,-7.14922713481,-1.17457413673,
20.1900000000017,5.63240657851,0,-7.14794464537,-1.71454381943,
20.1910000000017,5.62925406191,0,-7.14668119777,-1.71454381943,
20.1920000000017,5.62609343714,0,-7.14543631661,-1.71454381943,
20.1930000000017,5.62292748744,0,-7.14422088775,-1.71454381943,
20.1940000000017,5.61975608802,0,-7.14303414432,-1.71454381943,
20.1950000000017,5.61657911966,0,-7.14187533872,-1.71454381943,
20.1960000000017,5.61339646862,0,-7.14074374229,-1.71454381943,
20.1970000000017,5.61020802651,0,-7.1396386449,-1.71454381943,
20.1980000000017,5.60701369018,0.961291432381,-7.13855935459,-2.58015966415,
20.1990000000017,5.6038133616,0.961291432381,-7.13750519719,-2.58015966415,
20.2000000000017,5.60060694778,0.961291432381,-7.13647551592,-2.58015966415,
